,Baranggay,x-coord,y-coord,brgys_in_lowercase
0,San Vicente,255.0,316.0,san vicente
1,Old Capitol Site,197.0,257.0,old capitol site
2,Krus Na Ligas,345.0,227.0,krus na ligas
3,U.P. Village,250.0,248.0,u.p. village
4,Botocan,370.0,88.0,botocan
5,Teacher's Village West,295.0,184.0,teacher's village west
6,Teacher's Village East,254.0,153.0,teacher's village east
7,Sikatuna Village,294.0,83.0,sikatuna village
8,Malaya,235.0,44.0,malaya
9,Central,169.0,163.0,central
10,Pinyahan,99.0,74.0,pinyahan
11,South Triangle,-73.0,95.0,south triangle
12,Sacred Heart,-45.0,-9.0,sacred heart
13,Laging Handa,-158.0,2.0,laging handa
14,Kamuning,-19.0,-65.0,kamuning
15,Pinagkaisahan,60.0,-94.0,pinagkaisahan
16,Immaculate Concepcion,54.0,-164.0,immaculate concepcion
17,San Martin de Porres,143.0,-225.0,san martin de porres
18,Camp Aguinaldo,348.0,-386.0,camp aguinaldo
19,Kaunlaran,44.0,-225.0,kaunlaran
20,Horseshoe,21.0,-292.0,horseshoe
21,Valencia,-81.0,-311.0,valencia
22,Mariana,-121.0,-198.0,mariana
23,Kristong Hari,-171.0,-107.0,kristong hari
24,Obrero,-163.0,-59.0,obrero
25,Paligsahan,-294.0,-2.0,paligsahan
26,Roxas,-303.0,-68.0,roxas
27,Kalusugan,-298.0,-133.0,kalusugan
28,Damayang Lagi,-278.0,-231.0,damayang lagi
29,Tatalon,-438.0,-132.0,tatalon
30,Dona Imelda,-358.0,-247.0,dona imelda
31,Santol,-405.0,-305.0,santol
32,Santo Nino,-460.0,-316.0,santo nino
33,San Isidro,-508.0,-287.0,san isidro
34,Aurora,-497.0,-232.0,aurora
35,Dona Josefa,-534.0,-178.0,dona josefa
36,Don Manuel,-553.0,-232.0,don manuel
